,Temperature,ECE,acc
0,0.25,0.27671530628204344,0.792
1,0.25,0.27430035161972044,0.8
2,0.25,0.22328938603401183,0.588
3,0.25,0.23825197982788085,0.756
4,0.25,0.17822952842712403,0.656
5,0.25,0.23336929774284362,0.752
6,0.25,0.18390007853507995,0.712
7,0.25,0.2000506527423859,0.728
8,0.25,0.3009460532665253,0.572
9,0.25,0.16831815147399906,0.688
10,0.5,0.2632672271728516,0.8
11,0.5,0.23081372213363646,0.736
12,0.5,0.2243336856365204,0.756
13,0.5,0.18210395765304568,0.724
14,0.5,0.25077261590957645,0.784
15,0.5,0.19713765549659729,0.732
16,0.5,0.24259482502937316,0.78
17,0.5,0.22218584179878234,0.74
18,0.5,0.2144954788684845,0.64
19,0.5,0.17424127984046936,0.688
20,1.0,0.23502586984634394,0.788
21,1.0,0.2735585896968842,0.82
22,1.0,0.2195660524368286,0.78
23,1.0,0.3084620237350464,0.848
24,1.0,0.21019212412834168,0.752
25,1.0,0.26849152517318725,0.8
26,1.0,0.168282874584198,0.72
27,1.0,0.2435262925624847,0.784
28,1.0,0.21918226861953735,0.78
29,1.0,0.2948991506099701,0.816
30,1.5,0.23921927165985107,0.808
31,1.5,0.2949285755157471,0.832
32,1.5,0.24248275923728943,0.78
33,1.5,0.24970860576629642,0.812
34,1.5,0.2885200357437134,0.804
35,1.5,0.248777281999588,0.804
36,1.5,0.26159959769248964,0.812
37,1.5,0.24240459203720094,0.804
38,1.5,0.199995991230011,0.76
39,1.5,0.25574431133270265,0.816
40,2.0,0.24920672631263732,0.824
41,2.0,0.24366916608810424,0.812
42,2.0,0.25897800040245056,0.824
43,2.0,0.22458419704437255,0.8
44,2.0,0.2612020242214203,0.824
45,2.0,0.2756046874523163,0.828
46,2.0,0.25435540747642515,0.832
47,2.0,0.26104650521278383,0.824
48,2.0,0.32230929160118105,0.876
49,2.0,0.21621885871887206,0.768
50,3.0,0.22540608954429625,0.812
51,3.0,0.2623599214553833,0.832
52,3.0,0.22326188230514524,0.808
53,3.0,0.2406479229927063,0.808
54,3.0,0.2857633099555969,0.868
55,3.0,0.2302130072116852,0.808
56,3.0,0.2351475257873535,0.804
57,3.0,0.22753999757766724,0.808
58,3.0,0.25009071087837215,0.828
59,3.0,0.27363336086273193,0.844
60,4.0,0.274416296005249,0.852
61,4.0,0.2398324735164642,0.82
62,4.0,0.2544334673881531,0.844
63,4.0,0.27078760290145876,0.84
64,4.0,0.26788121557235717,0.852
65,4.0,0.31672580766677855,0.896
66,4.0,0.22138201928138732,0.816
67,4.0,0.25589745807647707,0.84
68,4.0,0.2783496491909027,0.86
69,4.0,0.22356486320495605,0.816
70,0.1,0.3009595510959625,0.812
71,0.1,0.2347915735244751,0.744
72,0.1,0.24553354907035826,0.76
73,0.1,0.1170449910163879,0.628
74,0.1,0.2096729574203491,0.72
75,0.1,0.17316750764846806,0.528
76,0.1,0.30766761803627013,0.816
77,0.1,0.12442502570152286,0.636
78,0.1,0.24325851368904117,0.756
79,0.1,0.2782551054954529,0.792
80,0.05,0.30669631481170656,0.824
81,0.05,0.14849274706840512,0.528
82,0.05,0.161209730386734,0.528
83,0.05,0.2231072371006012,0.548
84,0.05,0.2609487895965576,0.768
85,0.05,0.061583693027496354,0.528
86,0.05,0.22570638799667356,0.736
87,0.05,0.25928548860549927,0.54
88,0.05,0.2659734115600586,0.776
89,0.05,0.2726663174629211,0.788
90,5.0,0.2706827802658081,0.868
91,5.0,0.24641427922248837,0.832
92,5.0,0.2880070066452026,0.836
93,5.0,0.27825793385505676,0.86
94,5.0,0.27416561675071716,0.864
95,5.0,0.23809696674346925,0.832
96,5.0,0.2268265566825866,0.796
97,5.0,0.25653309631347654,0.848
98,5.0,0.250198312997818,0.844
99,5.0,0.22118564796447754,0.82
100,7.0,0.20470907521247864,0.816
101,7.0,0.2553200879096985,0.86
102,7.0,0.25384065651893617,0.856
103,7.0,0.2665446169376373,0.876
104,7.0,0.2597533700466156,0.864
105,7.0,0.3025920822620392,0.892
106,7.0,0.20489643359184262,0.816
107,7.0,0.2746114866733551,0.88
108,7.0,0.20504920506477356,0.812
109,7.0,0.2608889045715332,0.868
110,10.0,0.25408524823188783,0.864
111,10.0,0.26341978669166566,0.876
112,10.0,0.26511922788619996,0.876
113,10.0,0.2815559623241425,0.892
114,10.0,0.2605577392578125,0.876
115,10.0,0.2615274088382721,0.872
116,10.0,0.26554687118530274,0.872
117,10.0,0.26536466360092165,0.872
118,10.0,0.26209787058830264,0.876
119,10.0,0.2790662248134613,0.892
120,15.0,0.2533581974506378,0.844
121,15.0,0.21573969888687133,0.832
122,15.0,0.25627755784988404,0.876
123,15.0,0.23615560150146483,0.856
124,15.0,0.25451813030242915,0.876
125,15.0,0.2818039710521698,0.896
126,15.0,0.2324421200752258,0.836
127,15.0,0.26486667346954346,0.888
128,15.0,0.25930184745788576,0.88
129,15.0,0.2319939291477203,0.852
