,Temperature,ECE,acc,weight
0,0.5,0.29863278794288634,0.816,0.010200388729572296
1,0.5,0.402713862657547,0.916,0.010727615095674992
2,0.5,0.3730778424739838,0.88,0.0062443530187010765
3,0.5,0.28964003324508664,0.8,0.00860590673983097
4,0.5,0.27328607320785525,0.788,0.010529132559895515
5,0.5,0.35706788206100465,0.876,0.015920639038085938
6,0.5,0.35214024448394776,0.876,0.020813506096601486
7,0.5,0.34239317297935484,0.852,0.008548813872039318
8,0.5,0.3146343655586243,0.824,0.00705197686329484
9,0.5,0.2661721043586731,0.772,0.004000677261501551
10,1.0,0.3338663444519043,0.856,0.018853744491934776
11,1.0,0.24907329297065736,0.768,0.01404537819325924
12,1.0,0.2065897047519684,0.72,0.010088351555168629
13,1.0,0.2006725878715515,0.704,0.01307049859315157
14,1.0,0.3810038130283356,0.892,0.011264612898230553
15,1.0,0.34447813987731934,0.856,0.01097077690064907
16,1.0,0.2687202820777893,0.8,0.026456814259290695
17,1.0,0.36114286875724794,0.876,0.013904775492846966
18,1.0,0.2690635817050934,0.792,0.01782175526022911
19,1.0,0.3372056705951691,0.844,0.005695401690900326
20,2.0,0.20145176196098327,0.7,0.011003842577338219
21,2.0,0.33552989196777344,0.86,0.02289256826043129
22,2.0,0.3123104901313782,0.824,0.010446460917592049
23,2.0,0.3285025534629822,0.84,0.009796539321541786
24,2.0,0.382580934047699,0.896,0.013441303744912148
25,2.0,0.21969319534301757,0.74,0.015534487552940845
26,2.0,0.36409941434860227,0.888,0.02140568196773529
27,2.0,0.26150857377052306,0.748,0.025902986526489258
28,2.0,0.24768230032920835,0.752,0.015259983949363232
29,2.0,0.37123268270492554,0.884,0.013113675639033318
30,4.0,0.3039073367118835,0.832,0.02794714644551277
31,4.0,0.275634370803833,0.792,0.013713980093598366
32,4.0,0.2935333397388458,0.82,0.02338252030313015
33,4.0,0.30670823431015015,0.828,0.020230725407600403
34,4.0,0.29346481037139893,0.812,0.016238173469901085
35,4.0,0.3391625020503998,0.872,0.037559572607278824
36,4.0,0.24183144521713257,0.764,0.01803799346089363
37,4.0,0.2717175512313843,0.768,0.027900133281946182
38,4.0,0.383363733291626,0.9,0.01811545342206955
39,4.0,0.24861122512817382,0.768,0.014325683005154133
40,8.0,0.3064115161895752,0.832,0.023700231686234474
41,8.0,0.2453793365955353,0.756,0.02727939561009407
42,8.0,0.22291379523277283,0.748,0.01578133925795555
43,8.0,0.25185388255119323,0.78,0.025433849543333054
44,8.0,0.34921604323387145,0.876,0.02752685546875
45,8.0,0.3954470355510712,0.916,0.02167525142431259
46,8.0,0.30438148784637453,0.816,0.009775702841579914
47,8.0,0.29948730039596555,0.816,0.013521027751266956
48,8.0,0.30939629244804384,0.84,0.028791477903723717
49,8.0,0.2922883961200714,0.808,0.015039031393826008
50,16.0,0.38070593214035037,0.896,0.0123846884816885
51,16.0,0.3502609133720398,0.892,0.04287019371986389
52,16.0,0.2596713147163391,0.784,0.021594971418380737
53,16.0,0.31830859303474424,0.84,0.026182260364294052
54,16.0,0.33663907861709597,0.86,0.020170554518699646
55,16.0,0.30109514570236207,0.824,0.018066653981804848
56,16.0,0.2245955457687378,0.752,0.023751383647322655
57,16.0,0.2119695222377777,0.716,0.01695903018116951
58,16.0,0.3326047701835632,0.848,0.013863103464245796
59,16.0,0.3031257314682007,0.82,0.016627464443445206
